"MemberID","MCOID","MCOProg","MCOAssignmentDate","MemberLastName","MemberFirstName","MemberMidName","MemberSSN","MemberPhone","MemberAddress1","MemberAddress2","MemberCity","MemberState","MemberZip","MemberCounty","MemberDOB","MemberGender","MemberRace","MemberMailingAddr1","MemberMailingAddr2","MemberMailingCity","MemberMailingState","MemberMailingZip","MemberCellPhone","MemberFax","MemberWorkPhone","MemberEmail"
"TyM1LX1GG37","030","THL","2021-05-12","LASTA00C06S09","FIRSTA00C06S09","","A00C06S09","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2002-01-01","F","N","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM5XO1XM11","046","THL","2021-06-30","LASTA00H75O38","FIRSTA00H75O38","L","A00H75O38","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2011-01-01","M","N","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM0GA9LG33","046","THL","2021-09-22","LASTA00Z79S90","FIRSTA00Z79S90","","A00Z79S90","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2014-01-01","M","O","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM4GL7GC68","032","THL","2021-05-19","LASTA01C27Z69","FIRSTA01C27Z69","A","A01C27Z69","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2005-01-01","F","O","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM0OZ3HZ62","032","THL","2021-04-21","LASTA02C25H90","FIRSTA02C25H90","I","A02C25H90","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2005-01-01","M","O","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM2CM4HS08","046","THL","2021-06-30","LASTA02G19Z50","FIRSTA02G19Z50","T","A02G19Z50","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2015-01-01","M","O","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM4LO6XG66","032","THL","2021-03-03","LASTA02H36A99","FIRSTA02H36A99","U","A02H36A99","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2012-01-01","M","7","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM4XG0XL64","046","THL","2021-05-26","LASTA02O72G90","FIRSTA02O72G90","W","A02O72G90","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2018-01-01","M","7","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyM4LH7GH22","046","THL","2021-04-22","LASTA03C68C52","FIRSTA03C68C52","M","A03C68C52","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2012-01-01","F","E","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
"TyO9SG9HG21","032","THL","2021-02-17","LASTA03G02O22","FIRSTA03G02O22","G","A03G02O22","7322710600","343 Thornall Street","Suite #630","Edison","NJ","08837","","2019-01-01","F","O","343 Thornall Street","Suite #630","Edison","NJ","08837","7322710600","7322710600","7322710600","NoReply@HealthEC.COM"
